Date,Open,High,Low,Close,Volume
2017-11-01,335.67,338.76,335.6,338.76,93840000
2017-11-02,339.33,339.59,336.83,337.53,86219000
2017-11-03,339.08,339.12,336.16,338.83,75755000
2017-11-06,338.66,339.01,334.53,337.4,77983000
2017-11-07,337.23,338.35,336.0,336.76,114245000
2017-11-08,335.2,338.9,335.02,337.8,114008000
2017-11-09,338.55,338.59,334.99,337.14,108972000
2017-11-10,335.64,336.69,334.63,335.96,86246000
2017-11-13,336.63,337.34,333.73,334.33,91507000
2017-11-14,334.63,334.73,333.13,333.62,94187000
2017-11-15,333.39,333.6,331.36,332.17,112556000
2017-11-16,332.75,334.92,331.84,334.36,82133000
2017-11-17,336.05,338.04,334.18,334.18,92925000
2017-11-20,334.43,335.18,332.26,332.92,76767000
2017-11-21,333.78,334.92,332.7,333.51,123280000
2017-11-22,335.93,337.05,334.62,335.49,114422000
2017-11-23,335.66,335.89,333.99,334.51,71015000
2017-11-24,334.77,335.44,333.86,335.44,73264000
2017-11-27,335.24,335.61,329.47,329.53,91207000
2017-11-28,330.19,331.58,328.51,330.99,93026000
2017-11-29,331.41,332.22,330.04,330.68,67852000
2017-11-30,328.45,329.55,324.82,325.25,121247000
